Transaction_ID,Region,Department,Quarter,Units_Sold,Unit_Price,Revenue,Cost,Profit,Profit_Margin,Year
1,East,Home,Q2,33,40.23,1327.59,1106.1033112000484,221.48668879995148,0.1668,2024
2,West,Home,Q4,14,51.89,726.46,391.3025836919076,335.1574163080924,0.4614,2024
3,North,Sports,Q3,20,40.34,806.8000000000001,544.4676441425214,262.33235585747866,0.3252,2024
4,East,Home,Q3,20,48.98,979.5999999999999,723.364219522037,256.23578047796286,0.2616,2024
5,East,Books,Q1,17,57.16,971.7199999999999,817.2172074879181,154.50279251208178,0.159,2024
6,West,Home,Q2,17,55.17,937.89,790.3511363562362,147.53886364376376,0.1573,2024
7,North,Books,Q4,16,71.57,1145.12,656.9757404725515,488.1442595274484,0.4263,2024
8,North,Home,Q4,28,64.68,1811.0400000000002,1606.1161940998506,204.92380590014955,0.1132,2024
9,East,Books,Q1,21,54.96,1154.16,871.876713598281,282.2832864017191,0.2446,2024
10,South,Home,Q3,22,55.73,1226.06,936.1080702172974,289.95192978270256,0.2365,2024
11,East,Home,Q4,17,79.41,1349.97,1155.0305770450127,194.93942295498732,0.1444,2024
12,East,Clothing,Q1,21,38.03,798.63,501.6342904320982,296.99570956790177,0.3719,2024
13,East,Books,Q3,20,57.46,1149.2,765.4674435422087,383.73255645779136,0.3339,2024
14,East,Books,Q4,20,37.06,741.2,662.6294504415132,78.57054955848685,0.106,2024
15,West,Books,Q2,16,62.51,1000.16,506.6962988165897,493.46370118341025,0.4934,2024
16,North,Electronics,Q1,12,59.58,714.96,605.4735897753352,109.48641022466484,0.1531,2024
17,West,Home,Q4,29,46.32,1343.28,1124.3286592671045,218.95134073289546,0.163,2024
18,West,Books,Q1,27,69.47,1875.69,1134.7271307540448,740.9628692459553,0.395,2024
19,West,Electronics,Q1,20,50.9,1018.0,843.5941365069823,174.4058634930177,0.1713,2024
20,East,Clothing,Q1,25,55.03,1375.75,869.6077908180218,506.14220918197816,0.3679,2024
21,South,Books,Q2,11,25.76,283.36,212.97078838540867,70.38921161459135,0.2484,2024
22,North,Books,Q3,21,83.79,1759.5900000000001,1194.3240392747402,565.2659607252599,0.3212,2024
23,South,Electronics,Q3,14,34.51,483.14,261.1524953087008,221.9875046912992,0.4595,2024
24,West,Home,Q4,15,31.35,470.25,403.54201252468255,66.70798747531745,0.1419,2024
25,West,Clothing,Q2,28,59.32,1660.96,1192.7419675058006,468.2180324941994,0.2819,2024
26,South,Books,Q3,23,52.57,1209.11,837.5800360424907,371.52996395750915,0.3073,2024
27,South,Home,Q4,18,27.01,486.18,414.1276703939836,72.05232960601643,0.1482,2024
28,South,Clothing,Q4,19,37.14,705.66,445.4184113143183,260.2415886856817,0.3688,2024
29,West,Sports,Q1,27,43.94,1186.3799999999999,863.847066444967,322.53293355503286,0.2719,2024
30,West,Sports,Q2,17,38.85,660.45,563.3044708220079,97.1455291779921,0.1471,2024
31,North,Clothing,Q3,29,52.94,1535.26,978.1945724122004,557.0654275877996,0.3628,2024
32,North,Electronics,Q2,18,63.96,1151.28,941.0726690602314,210.20733093976855,0.1826,2024
33,West,Clothing,Q2,20,82.97,1659.4,1171.118653221216,488.28134677878415,0.2943,2024
34,South,Clothing,Q3,14,27.04,378.56,213.16965022087555,165.39034977912445,0.4369,2024
35,South,Electronics,Q3,27,49.01,1323.27,683.1204415290003,640.1495584709996,0.4838,2024
36,North,Electronics,Q2,24,51.27,1230.48,972.9284288259691,257.55157117403087,0.2093,2024
37,West,Home,Q4,18,51.07,919.26,555.9225122811511,363.33748771884893,0.3952,2024
38,North,Home,Q2,19,52.99,1006.8100000000001,831.91857311693,174.89142688307004,0.1737,2024
39,North,Electronics,Q3,17,51.25,871.25,501.46659028328344,369.78340971671656,0.4244,2024
40,East,Sports,Q2,20,67.42,1348.4,980.479021792218,367.9209782077821,0.2729,2024
41,East,Sports,Q3,23,55.81,1283.63,689.8069878360162,593.8230121639839,0.4626,2024
42,East,Clothing,Q4,17,27.31,464.27,368.7729660641638,95.49703393583616,0.2057,2024
43,South,Books,Q2,23,30.24,695.52,560.7846815230345,134.73531847696552,0.1937,2024
44,West,Clothing,Q4,27,63.61,1717.47,1488.391139947068,229.078860052932,0.1334,2024
45,West,Clothing,Q2,24,57.39,1377.3600000000001,997.957809270352,379.40219072964817,0.2755,2024
46,West,Books,Q2,12,45.86,550.3199999999999,298.59079317489875,251.7292068251012,0.4574,2024
47,West,Electronics,Q3,22,57.08,1255.76,1043.6697736147012,212.09022638529882,0.1689,2024
48,East,Sports,Q1,20,59.18,1183.6,740.4100327584812,443.18996724151873,0.3744,2024
49,South,Clothing,Q3,21,65.16,1368.36,1176.5670640235835,191.7929359764164,0.1402,2024
50,South,Books,Q2,21,46.53,977.13,870.7535990431044,106.37640095689562,0.1089,2024
51,East,Home,Q1,23,61.95,1424.8500000000001,787.9355286555033,636.9144713444969,0.447,2024
52,South,Clothing,Q1,19,48.08,913.52,487.0741216258938,426.4458783741062,0.4668,2024
53,East,Sports,Q4,9,27.89,251.01,215.62796900713445,35.38203099286554,0.141,2024
54,West,Electronics,Q2,13,55.82,725.66,623.7413990257996,101.91860097420033,0.1404,2024
55,East,Clothing,Q3,14,68.99,965.8599999999999,709.0176315142195,256.8423684857804,0.2659,2024
56,West,Clothing,Q1,20,61.69,1233.8,1055.2055985661545,178.5944014338454,0.1448,2024
57,West,Books,Q1,20,67.99,1359.8,1186.0292781074188,173.77072189258115,0.1278,2024
58,North,Home,Q3,17,52.64,894.88,646.2428057773876,248.63719422261238,0.2778,2024
59,East,Home,Q3,27,37.33,1007.91,780.738448971998,227.171551028002,0.2254,2024
60,North,Electronics,Q1,13,52.9,687.6999999999999,512.6315916381038,175.0684083618961,0.2546,2024
61,East,Sports,Q3,26,44.38,1153.88,657.5265859992038,496.3534140007963,0.4302,2024
62,East,Electronics,Q4,19,54.92,1043.48,703.8213387779433,339.6586612220567,0.3255,2024
63,North,Clothing,Q1,23,50.88,1170.24,904.073279368995,266.166720631005,0.2274,2024
64,North,Clothing,Q4,22,65.44,1439.6799999999998,1071.2767703886084,368.40322961139145,0.2559,2024
65,East,Home,Q2,18,29.25,526.5,308.54960138754365,217.95039861245635,0.414,2024
66,South,Sports,Q4,14,14.94,209.16,180.69409006533184,28.46590993466816,0.1361,2024
67,West,Books,Q3,19,51.18,972.42,791.1874939642555,181.23250603574445,0.1864,2024
68,North,Sports,Q1,21,44.66,937.8599999999999,494.61144659942926,443.24855340057064,0.4726,2024
